Kinase,Source Protein,Target Protein,Interaction Score
AURKA,9606.ENSP00000216911,9606.ENSP00000288207,0.988
AURKA,9606.ENSP00000216911,9606.ENSP00000368759,0.99
AURKA,9606.ENSP00000216911,9606.ENSP00000301633,0.993
AURKA,9606.ENSP00000216911,9606.ENSP00000378295,0.994
AURKA,9606.ENSP00000216911,9606.ENSP00000361540,0.995
AURKA,9606.ENSP00000216911,9606.ENSP00000300093,0.997
AURKA,9606.ENSP00000216911,9606.ENSP00000326550,0.998
AURKA,9606.ENSP00000216911,9606.ENSP00000281043,0.998
AURKA,9606.ENSP00000216911,9606.ENSP00000269305,0.998
AURKA,9606.ENSP00000216911,9606.ENSP00000300403,0.999
AURKA,9606.ENSP00000269305,9606.ENSP00000281043,0.852
AURKA,9606.ENSP00000269305,9606.ENSP00000300403,0.903
AURKA,9606.ENSP00000269305,9606.ENSP00000301633,0.93
AURKA,9606.ENSP00000269305,9606.ENSP00000300093,0.981
AURKA,9606.ENSP00000288207,9606.ENSP00000300403,0.953
AURKA,9606.ENSP00000288207,9606.ENSP00000301633,0.993
AURKA,9606.ENSP00000288207,9606.ENSP00000300093,0.995
AURKA,9606.ENSP00000288207,9606.ENSP00000361540,0.999
AURKA,9606.ENSP00000300093,9606.ENSP00000326550,0.884
AURKA,9606.ENSP00000300093,9606.ENSP00000300403,0.944
AURKA,9606.ENSP00000300093,9606.ENSP00000378295,0.978
AURKA,9606.ENSP00000300093,9606.ENSP00000301633,0.98
AURKA,9606.ENSP00000300093,9606.ENSP00000361540,0.999
AURKA,9606.ENSP00000300403,9606.ENSP00000326550,0.786
AURKA,9606.ENSP00000300403,9606.ENSP00000301633,0.952
AURKA,9606.ENSP00000300403,9606.ENSP00000361540,0.961
AURKA,9606.ENSP00000301633,9606.ENSP00000326550,0.725
AURKA,9606.ENSP00000301633,9606.ENSP00000361540,0.995
AURKA,9606.ENSP00000301633,9606.ENSP00000378295,0.999
AURKA,9606.ENSP00000326550,9606.ENSP00000378295,0.742
AURKA,9606.ENSP00000326550,9606.ENSP00000361540,0.842
AURKA,9606.ENSP00000361540,9606.ENSP00000378295,0.964
PAK1,9606.ENSP00000233154,9606.ENSP00000495631,0.86
PAK1,9606.ENSP00000233154,9606.ENSP00000249071,0.915
PAK1,9606.ENSP00000233154,9606.ENSP00000304283,0.919
PAK1,9606.ENSP00000233154,9606.ENSP00000417273,0.979
PAK1,9606.ENSP00000233154,9606.ENSP00000278568,0.991
PAK1,9606.ENSP00000249071,9606.ENSP00000348461,0.823
PAK1,9606.ENSP00000249071,9606.ENSP00000451828,0.864
PAK1,9606.ENSP00000249071,9606.ENSP00000497733,0.943
PAK1,9606.ENSP00000249071,9606.ENSP00000495631,0.947
PAK1,9606.ENSP00000249071,9606.ENSP00000250617,0.966
PAK1,9606.ENSP00000249071,9606.ENSP00000278568,0.967
PAK1,9606.ENSP00000249071,9606.ENSP00000304283,0.976
PAK1,9606.ENSP00000250617,9606.ENSP00000348461,0.818
PAK1,9606.ENSP00000250617,9606.ENSP00000304283,0.927
PAK1,9606.ENSP00000250617,9606.ENSP00000417273,0.93
PAK1,9606.ENSP00000250617,9606.ENSP00000497733,0.985
PAK1,9606.ENSP00000250617,9606.ENSP00000495631,0.99
PAK1,9606.ENSP00000250617,9606.ENSP00000278568,0.995
PAK1,9606.ENSP00000278568,9606.ENSP00000336740,0.967
PAK1,9606.ENSP00000278568,9606.ENSP00000451828,0.994
PAK1,9606.ENSP00000278568,9606.ENSP00000495631,0.995
PAK1,9606.ENSP00000278568,9606.ENSP00000304283,0.996
PAK1,9606.ENSP00000278568,9606.ENSP00000417273,0.998
PAK1,9606.ENSP00000278568,9606.ENSP00000497733,0.999
PAK1,9606.ENSP00000278568,9606.ENSP00000348461,0.999
PAK1,9606.ENSP00000304283,9606.ENSP00000348461,0.918
PAK1,9606.ENSP00000304283,9606.ENSP00000495631,0.927
PAK1,9606.ENSP00000304283,9606.ENSP00000497733,0.932
PAK1,9606.ENSP00000336740,9606.ENSP00000348461,0.732
PAK1,9606.ENSP00000336740,9606.ENSP00000497733,0.868
PAK1,9606.ENSP00000348461,9606.ENSP00000417273,0.735
PAK1,9606.ENSP00000348461,9606.ENSP00000451828,0.865
PAK1,9606.ENSP00000348461,9606.ENSP00000497733,0.872
PAK1,9606.ENSP00000348461,9606.ENSP00000495631,0.957
PAK1,9606.ENSP00000417273,9606.ENSP00000451828,0.703
